INFO 2025-04-17 16:17:37,888 apps Iniciando MQTT Handler...
INFO 2025-04-17 16:17:37,927 mqtt_handler Conectado ao Redis para salvamento de telemetria
INFO 2025-04-17 16:17:37,931 mqtt_handler MQTT Handler inicializado
INFO 2025-04-17 16:17:37,932 mqtt_handler Conectado ao broker MQTT em mqtt:1883
INFO 2025-04-17 16:17:37,933 apps MQTT Handler iniciado com sucesso!
INFO 2025-04-17 16:17:37,934 mqtt_handler Conectado ao broker MQTT com sucesso
INFO 2025-04-17 16:17:37,934 mqtt_handler Inscrito nos tópicos: [('substations/+/rovers/+/telemetry', 1), ('substations/+/rovers/+/image', 1), ('substations/+/rovers/+/boxes', 1)]
INFO 2025-04-17 16:17:38,283 apps Iniciando MQTT Handler...
INFO 2025-04-17 16:17:38,305 mqtt_handler Conectado ao Redis para salvamento de telemetria
INFO 2025-04-17 16:17:38,307 mqtt_handler MQTT Handler inicializado
INFO 2025-04-17 16:17:38,308 mqtt_handler Conectado ao broker MQTT em mqtt:1883
INFO 2025-04-17 16:17:38,308 mqtt_handler Conectado ao broker MQTT com sucesso
INFO 2025-04-17 16:17:38,308 apps MQTT Handler iniciado com sucesso!
INFO 2025-04-17 16:17:38,308 mqtt_handler Inscrito nos tópicos: [('substations/+/rovers/+/telemetry', 1), ('substations/+/rovers/+/image', 1), ('substations/+/rovers/+/boxes', 1)]
INFO 2025-04-17 16:17:38,779 apps Iniciando MQTT Handler...
INFO 2025-04-17 16:17:38,801 mqtt_handler Conectado ao Redis para salvamento de telemetria
INFO 2025-04-17 16:17:38,803 mqtt_handler MQTT Handler inicializado
INFO 2025-04-17 16:17:38,804 mqtt_handler Conectado ao broker MQTT em mqtt:1883
INFO 2025-04-17 16:17:38,806 apps MQTT Handler iniciado com sucesso!
INFO 2025-04-17 16:17:38,806 mqtt_handler Conectado ao broker MQTT com sucesso
INFO 2025-04-17 16:17:38,806 mqtt_handler Inscrito nos tópicos: [('substations/+/rovers/+/telemetry', 1), ('substations/+/rovers/+/image', 1), ('substations/+/rovers/+/boxes', 1)]
INFO 2025-04-17 16:17:38,809 cli Starting server at tcp:port=8000:interface=0.0.0.0
INFO 2025-04-17 16:17:38,809 server HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2025-04-17 16:17:38,810 server Configuring endpoint tcp:port=8000:interface=0.0.0.0
INFO 2025-04-17 16:17:38,810 server Listening on TCP address 0.0.0.0:8000
DEBUG 2025-04-17 16:17:41,414 http_protocol HTTP b'GET' request for ['127.0.0.1', 38992]
DEBUG 2025-04-17 16:17:41,472 http_protocol HTTP 200 response started for ['127.0.0.1', 38992]
DEBUG 2025-04-17 16:17:41,472 http_protocol HTTP close for ['127.0.0.1', 38992]
DEBUG 2025-04-17 16:17:41,472 http_protocol HTTP response complete for ['127.0.0.1', 38992]
DEBUG 2025-04-17 16:18:11,507 http_protocol HTTP b'GET' request for ['127.0.0.1', 52804]
DEBUG 2025-04-17 16:18:11,513 http_protocol HTTP 200 response started for ['127.0.0.1', 52804]
DEBUG 2025-04-17 16:18:11,513 http_protocol HTTP close for ['127.0.0.1', 52804]
DEBUG 2025-04-17 16:18:11,513 http_protocol HTTP response complete for ['127.0.0.1', 52804]
DEBUG 2025-04-17 16:18:41,550 http_protocol HTTP b'GET' request for ['127.0.0.1', 54244]
DEBUG 2025-04-17 16:18:41,557 http_protocol HTTP 200 response started for ['127.0.0.1', 54244]
DEBUG 2025-04-17 16:18:41,557 http_protocol HTTP close for ['127.0.0.1', 54244]
DEBUG 2025-04-17 16:18:41,558 http_protocol HTTP response complete for ['127.0.0.1', 54244]
DEBUG 2025-04-17 16:19:11,625 http_protocol HTTP b'GET' request for ['127.0.0.1', 35456]
DEBUG 2025-04-17 16:19:11,631 http_protocol HTTP 200 response started for ['127.0.0.1', 35456]
DEBUG 2025-04-17 16:19:11,631 http_protocol HTTP close for ['127.0.0.1', 35456]
DEBUG 2025-04-17 16:19:11,631 http_protocol HTTP response complete for ['127.0.0.1', 35456]
DEBUG 2025-04-17 16:19:41,672 http_protocol HTTP b'GET' request for ['127.0.0.1', 43190]
DEBUG 2025-04-17 16:19:41,678 http_protocol HTTP 200 response started for ['127.0.0.1', 43190]
DEBUG 2025-04-17 16:19:41,678 http_protocol HTTP close for ['127.0.0.1', 43190]
DEBUG 2025-04-17 16:19:41,679 http_protocol HTTP response complete for ['127.0.0.1', 43190]
DEBUG 2025-04-17 16:20:11,715 http_protocol HTTP b'GET' request for ['127.0.0.1', 34888]
DEBUG 2025-04-17 16:20:11,722 http_protocol HTTP 200 response started for ['127.0.0.1', 34888]
DEBUG 2025-04-17 16:20:11,722 http_protocol HTTP close for ['127.0.0.1', 34888]
DEBUG 2025-04-17 16:20:11,722 http_protocol HTTP response complete for ['127.0.0.1', 34888]
