lat lon alt y
-21.77793110 -43.37202900 -4.83638157 -2.15303817
-21.77793100 -43.37202870 -3.98638204 -2.15391083
-21.77793100 -43.37202830 -4.09638271 -2.15443443
-21.77793100 -43.37202820 -3.84638288 -2.15443443
-21.77793060 -43.37202860 -3.91638204 -2.15617976
-21.77792970 -43.37202870 -4.29638151 -2.15408536
-21.77792930 -43.37202890 -4.09638101 -2.15600522
-21.77792930 -43.37202890 -4.28638101 -2.15600522
-21.77792920 -43.37202920 -4.25638047 -2.15565616
-21.77792910 -43.37202930 -4.40638026 -2.15530709
-21.77792900 -43.37202940 -3.85638005 -2.15513256
-21.77792900 -43.37202970 -3.84637955 -2.15548163
-21.77792900 -43.37202970 -4.48637955 -2.15600522
-21.77792900 -43.37202980 -4.39637938 -2.15687789
-21.77792880 -43.37203030 -4.28637846 -2.15565616
-21.77792880 -43.37203020 -4.17637863 -2.15548163
-21.77792870 -43.37203010 -3.82637875 -2.15565616
-21.77792860 -43.37203020 -4.19637854 -2.15583069
-21.77792860 -43.37203010 -4.51637871 -2.15425990
-21.77792860 -43.37203020 -4.51637854 -2.15391083
-21.77792860 -43.37203020 -4.04637854 -2.15408536
-21.77792850 -43.37203040 -4.30637817 -2.15373630
-21.77792860 -43.37203050 -4.14637804 -2.15321270
-21.77792880 -43.37203060 -4.15637795 -2.15408536
-21.77792880 -43.37203060 926.64362205 -2.15495803
-21.77792880 -43.37203070 926.65362222 -2.15513256
-21.77792870 -43.37203080 926.61362242 -2.15530709
-21.77792870 -43.37203080 926.60362242 -2.15530709
-21.77792870 -43.37203090 926.65362259 -2.15495803
-21.77792880 -43.37203090 926.70362255 -2.15408536
-21.77792890 -43.37203090 926.72362251 -2.15338723
-21.77792900 -43.37203100 926.71362264 -2.15321270
-21.77792910 -43.37203120 926.65362294 -2.15321270
-21.77792910 -43.37203130 926.60362310 -2.15303817
-21.77792900 -43.37203150 926.51362348 -2.15286363
-21.77792900 -43.37203170 926.46362382 -2.15216550
-21.77792900 -43.37203190 926.48362415 -2.15181643
-21.77792910 -43.37203220 926.50362462 -2.15164190
-21.77792910 -43.37203230 926.48362479 -2.15146737
-21.77792910 -43.37203230 926.47362479 -2.15129284
-21.77792910 -43.37203240 926.50362496 -2.15094377
-21.77792910 -43.37203240 926.55362496 -2.15042017
-21.77792910 -43.37203240 926.61362496 -2.15007111
-21.77792910 -43.37203250 926.68362512 -2.15024564
-21.77792910 -43.37203270 926.70362546 -2.15024564
-21.77792900 -43.37203280 926.72362567 -2.15076924
-21.77792900 -43.37203300 926.71362600 -2.15059470
-21.77792890 -43.37203310 926.68362621 -2.14989657
-21.77792890 -43.37203330 926.62362655 -2.14954751
-21.77792880 -43.37203340 926.55362676 -2.14937297
-21.77792860 -43.37203350 926.48362701 -2.14902391
-21.77792850 -43.37203360 926.45362722 -2.14850031
-21.77792840 -43.37203370 926.49362742 -2.14815124
-21.77792830 -43.37203380 926.53362763 -2.14745311
-21.77792810 -43.37203380 926.56362771 -2.14710405
-21.77792790 -43.37203370 926.55362763 -2.14658045
-21.77792760 -43.37203370 926.46362775 -2.14623138
-21.77792740 -43.37203360 926.39362766 -2.14588232
-21.77792730 -43.37203360 926.39362770 -2.14623138
-21.77792710 -43.37203350 926.39362761 -2.14640591
-21.77792700 -43.37203350 926.46362765 -2.14658045
-21.77792680 -43.37203350 926.52362773 -2.14658045
-21.77792660 -43.37203340 926.53362765 -2.14623138
-21.77792640 -43.37203340 926.48362773 -2.14588232
-21.77792630 -43.37203330 926.37362760 -2.14535872
-21.77792620 -43.37203330 926.34362764 -2.14518418
-21.77792610 -43.37203320 926.43362751 -2.14518418
-21.77792600 -43.37203310 926.52362738 -2.14535872
-21.77792580 -43.37203310 926.58362747 -2.14535872
-21.77792560 -43.37203300 926.61362738 -2.14535872
-21.77792550 -43.37203300 926.59362742 -2.14483512
-21.77792540 -43.37203300 926.57362746 -2.14431152
-21.77792530 -43.37203300 926.61362750 -2.14431152
-21.77792530 -43.37203300 926.65362750 -2.14431152
-21.77792530 -43.37203290 926.65362733 -2.14431152
-21.77792540 -43.37203290 926.64362729 -2.14343885
-21.77792540 -43.37203300 926.64362746 -2.14308979
-21.77792550 -43.37203310 926.66362759 -2.18550129
-21.77792660 -43.37203410 926.71362882 -2.18550129
-21.77792840 -43.37203560 926.74363062 -2.19230807
-21.77792990 -43.37203670 926.76363187 -2.19544967
-21.77793080 -43.37203710 926.73363218 -2.49494817
-21.77793140 -43.37203730 926.70363227 -2.84191962
-21.77793210 -43.37203780 926.70363283 3.06392550
-21.77793210 -43.37203950 926.71363569 3.02273573
-21.77793190 -43.37204200 926.72363998 3.01976867
-21.77793180 -43.37204390 926.70364321 3.01488175
-21.77793160 -43.37204600 926.69364683 3.01680161
-21.77793140 -43.37204790 926.68365011 3.00615510
-21.77793130 -43.37205000 926.69365368 3.01627801
-21.77793090 -43.37205170 926.70365670 3.02430653
-21.77793070 -43.37205370 926.70366015 3.01505628
-21.77793030 -43.37205560 926.69366351 3.00091912
-21.77793000 -43.37205790 926.68366750 3.00353711
-21.77792950 -43.37206010 926.69367140 3.00493337
-21.77792910 -43.37206120 926.69367341 -2.93250221
-21.77792880 -43.37206190 926.68367471 -2.55202043
-21.77792950 -43.37206370 926.68367746 -2.49512270
-21.77793050 -43.37206540 926.69367991 -2.50559467
-21.77793140 -43.37206720 926.70368258 -2.50873627
-21.77793240 -43.37206870 926.71368470 -2.51327412
-21.77793340 -43.37207040 926.70368715 -2.52322250
-21.77793420 -43.37207180 926.69368919 -2.51309959
-21.77793530 -43.37207330 926.68369127 -2.51676478
-21.77793620 -43.37207490 926.66369360 -2.51519399
-21.77793710 -43.37207660 926.67369609 -2.52584049
-21.77793790 -43.37207830 926.68369863 -2.52793489
