tx ty tz
0.0093756 0.0187504 0.00511956
0.0101419 0.0195668 -4.06668e-05
0.0130817 0.0203102 0.00141103
0.0115831 0.0139782 0.000186788
0.0118018 0.00842142 0.00329772
0.0166283 0.00355313 -0.0014104
0.0154628 0.00632886 0.00168812
0.00934556 0.00555824 0.00319777
0.0212089 0.00407439 0.000484391
0.0215959 0.00505517 0.00352198
0.0199595 0.00178889 0.00132639
0.0146201 0.00832127 0.00350422
0.0200214 0.00572876 0.00526708
0.0240987 0.00881161 -3.75833e-05
0.0273523 0.00306718 0.00516224
0.0236488 0.00898422 0.00277042
0.0240724 0.00859915 0.00589908
0.0215325 0.00125762 0.00134171
0.02698 0.00359947 0.00601155
0.0239708 0.00889587 0.00284156
0.0207352 0.000767514 0.00524855
0.0303856 0.00504321 0.0055399
0.0268387 0.0081415 0.00642234
0.0214421 0.00312864 0.00762017
0.0299398 0.00962842 0.00169458
0.0187597 0.00485617 0.00625014
0.0208862 0.000707158 0.00298513
0.0294343 0.010094 0.00607742
0.0251163 0.00752959 0.00658676
0.021278 0.00626893 0.00527799
0.0290006 0.00541665 0.00626597
0.0249842 0.00745892 0.00816496
0.0250943 0.0040126 0.00444832
0.0303127 0.0100671 0.00535167
0.0214939 0.00204367 0.00617048
0.028933 0.002094 0.00850853
0.0247745 0.00428624 0.00548353
0.0248428 0.00616517 0.00536743
0.02762 0.00936639 0.00791108
0.0203415 0.00828681 0.00746864
0.0288371 0.00328372 0.00837163
0.0317185 -0.00165497 0.00589464
0.0284934 0.0110241 0.00798181
0.0242752 0.00408891 0.0071415
0.0321904 0.011279 0.00803241
0.0219801 0.0049815 0.0055043
0.0358184 0.00103292 0.0053545
0.0271668 -0.000582121 0.00563859
0.0250761 -0.00348406 0.00743408
0.0327267 -0.00129254 0.0059323
0.0263885 0.00393192 0.00627557
0.0315597 0.00114653 0.00424017
0.0267818 -0.00231432 0.00771344
0.026925 0.00709903 0.00396061
0.0348621 0.00322367 0.00314496
0.0230971 -0.000774998 0.00542986
0.0261443 0.00678231 0.00584895
0.0303937 0.00289261 0.00676379
0.0269504 -0.00148408 0.00847177
0.0266255 0.00266599 0.00788317
0.0303296 -0.00134202 0.00261299
0.0286061 0.00306551 0.00782204
0.0275882 0.00319849 0.00537227
0.030247 0.00246938 0.00639175
0.0267637 0.00147926 0.0081821
0.0289844 -0.00610476 0.0055409
0.0281834 0.00198727 0.00651093
0.0223609 -0.00372489 0.00692827
0.0310365 -0.00263076 0.00703642
0.0280731 0.002478 0.0102671
